tco (s), A0 (#), SSF -full tp (lower), SSF nRE at tco, SSF nRE at 100us, SSF nRE at tco+pri.gen.rest., SSF -partial tp (higher), SREF nRE at final, ava w/o tp at tco, Ipf
3.50e-05, 9.28027e-03, -6.29273e-06, 5.39820e-05, 5.05341e-04, 3.66933e-04, 3.16125e-03, 2.73414e-01, 3.57068e-04, 2.0000475e+05
4.00e-05, 7.41797e-03, -1.10768e-03, 1.22597e-04, 5.62799e-04, 4.57641e-04, 7.35556e-03, 2.73742e-01, 1.39762e-03, 2.0001149e+05
4.50e-05, 6.14453e-03, -2.97581e-03, 1.78212e-04, 6.06674e-04, 4.39547e-04, 1.10843e-02, 2.73609e-01, 3.12048e-03, 1.9983052e+05
5.00e-05, 5.26123e-03, -5.19462e-03, 2.40105e-04, 6.36041e-04, 4.82964e-04, 1.37032e-02, 2.73606e-01, 5.14821e-03, 1.9979626e+05
5.50e-05, 4.62354e-03, -7.51959e-03, 3.02337e-04, 6.47073e-04, 5.13482e-04, 1.56625e-02, 2.73621e-01, 7.25751e-03, 1.9978481e+05
6.00e-05, 4.14453e-03, -9.85588e-03, 3.59447e-04, 6.44257e-04, 5.31841e-04, 1.73760e-02, 2.73684e-01, 9.36585e-03, 1.9980557e+05
6.50e-05, 3.77246e-03, -1.21701e-02, 4.08645e-04, 6.34070e-04, 5.42038e-04, 1.90695e-02, 2.73745e-01, 1.14483e-02, 1.9982721e+05
7.00e-05, 3.47510e-03, -1.44538e-02, 4.49119e-04, 6.21496e-04, 5.48020e-04, 2.08488e-02, 2.73734e-01, 1.35014e-02, 1.9980384e+05
7.50e-05, 3.23120e-03, -1.67103e-02, 4.82756e-04, 6.10865e-04, 5.53900e-04, 2.27495e-02, 2.73804e-01, 1.55317e-02, 1.9984620e+05
8.00e-05, 3.02734e-03, -1.89401e-02, 5.09900e-04, 6.01833e-04, 5.59906e-04, 2.47876e-02, 2.73778e-01, 1.75398e-02, 1.9983030e+05
8.50e-05, 2.85376e-03, -2.11500e-02, 5.32850e-04, 5.95349e-04, 5.67458e-04, 2.69562e-02, 2.73778e-01, 1.95324e-02, 1.9983988e+05
